zip,donations,total,donations_per_1000
21231,156,11765.870000000004,13.258688052817169
21234,4150,80660.86000000071,51.44998454020901
21236,5367,102116.84000000118,52.557443023109
21237,1956,57059.060000000005,34.280270302384935
21239,410,10179.439999999997,40.27726476112636
21240,1,26.03,38.417210910487896
21241,2,75,26.666666666666668
21244,549,13203.5,41.579884121634414
21247,7,167.08,41.89609767775915
21250,2,105.21,19.0095998479232
21251,50,1973.96,25.329793916796692
21252,4,100,40
21263,6,84.28,71.19126720455624
21279,5,73,68.4931506849315
21284,4,313.29999999999995,12.767315671879988
21286,3403,97379.96999999994,34.9455848055817
21287,1,1,1000
21401,8690,458704.35999999574,18.944664053335096
21402,64,1129.13,56.68080734724965
21403,3952,180484.76000000135,21.896585617533418
21404,14,3117.25,4.491138022295292
21405,107,3649.420000000001,29.319727518345374
21409,4980,188649.09000000064,26.39821904256195
21412,6,172.66000000000005,34.750376462411666
21501,5,30,166.66666666666666
21502,4775,103737.06000000116,46.029837359955515
21505,2,42.14,47.460844803037496
21520,98,3721.250000000001,26.335236815586157
21521,33,1075.8800000000003,30.67256571364835
21522,1,47,21.27659574468085
21523,7,86.89,80.5616296466797
21524,20,457.2,43.74453193350831
21529,57,1045.86,54.500602375078884
21530,89,1889.75,47.096176742955414
21531,246,7033.79,34.97403249172921
21532,2300,30815.46000000011,74.63786034672181
21536,814,7843.590000000014,103.7790093566847
21538,29,862.24,33.63332714789385
21539,32,1421.7499999999998,22.50747318445578
21540,1,21.07,47.460844803037496
21541,216,9666.629999999996,22.344912342770964
21543,280,4508.579999999999,62.103810955999464
21545,64,1568.5600000000002,40.801754475442436
21550,1221,35610.61999999992,34.287524339649316
21552,1,1,1000
21555,98,2438.6499999999987,40.18616857687657
21556,2,53.05,37.70028275212064
21557,69,1298.9399999999994,53.12023650053123
21560,40,438.4,91.24087591240875
21561,323,20203.78999999999,15.987099450152677
21562,73,1325.5500000000004,55.07147976311718
21601,3519,198588.0400000003,17.72010036455365
21607,10,253.65,39.424403705893944
21610,22,612.65,35.909573165755326
21612,40,2340.93,17.087226017010334
21613,1016,25820.179999999946,39.34906727993384
21617,1393,44502.849999999904,31.301366092284045
21619,1752,53307.83999999997,32.86570980928886
21620,3547,57317.93000000011,61.88290470364148
21622,47,1015.8599999999996,46.2662177859154
21623,160,11603.930000000004,13.788432022599235
21624,2,200,10
21625,181,6536.09,27.692397136514337
21628,76,1665.3,45.63742268660302
21629,702,26028.75999999993,26.970166846211725
21631,106,2140.9599999999996,49.510499962633595
21632,385,8560.209999999992,44.97553214231898
21634,12,660.53,18.167229346131137
21635,909,25782.629999999972,35.25629464488305
21636,140,3741.630000000001,37.41684773748338
21638,688,24723.95999999996,27.827257445813743
21639,299,4298.609999999999,69.55736854471564
21640,21,870.59,24.121572726541768
21643,129,3421.1600000000003,37.706508903412875
21644,21,1489.06,14.102856835856178
21645,799,16686.719999999976,47.88238791086572
21647,2,1046.02,1.9120093306055332
21648,6,292.18000000000006,20.535286467246213
21649,11,251.31,43.7706418367753
21650,36,743.2800000000001,48.433968356474004
21651,114,4187.79,27.221995372260785
21652,6,186.33,32.20093382708098
21653,5,115.48,43.297540699688255
21654,475,35940.680000000015,13.216221841100385
21655,911,15795.929999999988,57.67308414256082
21657,81,4380.89,18.489393707671272
21658,1085,46045.019999999975,23.563894640506195
21659,3060,58483.720000000016,52.322253098811075
21660,318,8391.409999999993,37.89589592213946
21661,1483,30077.569999999967,49.30584485382302
21662,168,15801.980000000009,10.631579080596223
21663,1221,42010.009999999944,29.06450153189684
21664,12,606.3299999999999,19.7912028103508
21665,55,6186.34,8.890555643563076
21666,2612,85565.16000000027,30.52644323928094
21667,5,207,24.154589371980677
