zip,donations,total,donations_per_1000
21677,28,1214,23.064250411861615
21678,1059,22807.97999999999,46.43111752991718
21679,213,5971.209999999999,35.67116212626922
21691,1,100,10
21701,24907,631639.1800000038,39.43232273843407
21702,17174,430403.05999999936,39.90213266606428
21703,8726,203219.95000000024,42.93869770167737
21704,5672,213888.01000000007,26.518550525576437
21705,449,9141.1,49.11881502226209
21706,1,10,100
21710,1509,45716.58000000003,33.00771842513152
21711,30,741,40.48582995951417
21713,1829,40567.68999999998,45.08514041593202
21714,426,15300.23,27.84271870422863
21715,93,4130,22.518159806295397
21716,2201,47591.56999999999,46.24768630242709
21717,97,3016.26,32.15903138323619
21718,165,4618.8,35.723564562223956
21719,115,1636.0099999999998,70.29296886938346
21720,48,1214,39.53871499176277
21721,4,63,63.49206349206349
21722,248,4822.030000000004,51.43062154320893
21723,214,7010.54,30.525465941282697
21727,606,16539.529999999995,36.63949338342747
21728,5,89,56.17977528089887
21730,4,300,13.333333333333334
21733,95,2380.62,39.90557081768615
21734,137,2700,50.74074074074074
21737,1141,42184.98,27.04754156574212
21738,2133,91235.83999999994,23.378970369539
21740,9084,156266.82999999897,58.13133855726171
21741,26,1301,19.984627209838585
21742,9377,180980.25000000055,51.81228338451279
21743,19,188.43,100.8332006580693
21748,3,112,26.785714285714285
21749,2,303,6.600660066006601
21750,1588,25647.73999999999,61.91578673208636
21752,4,40,100
21753,9,294,30.612244897959183
21754,3459,99558.51999999968,34.74338509652424
21755,2271,65008.77999999997,34.93374279597311
21756,706,23079.649999999976,30.589718648246432
21757,121,3157.34,38.323398810391026
21758,1923,35589.54000000006,54.03272984140837
21759,2,67,29.850746268656717
21762,127,4213.839999999999,30.138780779526517
21764,1,25,40
21765,225,2593.999999999999,86.73862760215886
21766,28,1177.77,23.773741902069162
21767,79,3614.53,21.856230270602264
21768,4,125,32
21769,3776,108657.45999999992,34.75141053361641
21770,1985,51007.11,38.91614325924366
21771,8933,209328.0900000004,42.67463578347265
21772,26,183,142.07650273224044
21773,1692,26795.68000000001,63.14450687573517
21774,5176,144050.66000000012,35.931803436374366
21775,20,1112,17.985611510791365
21776,1182,21786.81,54.25300904538113
21777,720,13418.1,53.658863773559595
21778,187,2955.6699999999983,63.26822683181821
21779,475,6884.26,68.99797509100469
21780,227,6613.85,34.32191537455491
21781,2,110,18.18181818181818
21782,1239,23007.480000000003,53.852051593655624
21783,1072,22073.15,48.56579147063287
21784,9655,257843.1300000003,37.44524820188146
21785,28,1329,21.068472535741158
21786,1,5,200
21787,944,30285.63,31.169898067169147
21788,2817,109285.4999999998,25.776521130433636
21789,1,100,10
21790,5,349.24,14.316802199060819
21791,1283,18969.599999999995,67.63453103913632
21792,26,355,73.2394366197183
21793,2311,63179.49999999996,36.57832049952914
21794,648,27815.850000000013,23.296070405901663
21795,1602,25785.01000000001,62.1291207565946
21797,3224,169015.33999999994,19.075191636451468
21798,331,18457.95,17.932652325962525
21801,4484,130242.52999999998,34.428078140066845
21802,194,2387.96,81.24089180723296
21803,82,1374.16,59.672818303545434
21804,7964,177007.2200000002,44.992514994586045
21805,3,225,13.333333333333334
21806,1,25,40
21808,11,149,73.8255033557047
21810,3,90,33.333333333333336
21811,9781,276675.0200000005,35.35194467501975
21812,5,255,19.607843137254903
21813,1012,18157.77,55.733716199731575
21814,274,5105.589999999998,53.66666731954585
21816,2,125,16
21817,312,6336.919999999993,49.23527518100281
21818,1,100,10
21820,3,43,69.76744186046511
21821,155,2020.34,76.71976004038925
21822,632,12221.479999999998,51.71223125186149
21823,1,150,6.666666666666667
21824,16,166,96.3855421686747
21826,717,10358.839999999998,69.2162442899012
21829,17,435,39.08045977011494
21830,383,9341.89,40.99812778784593
21835,19,79,240.50632911392407
21837,509,5382.609999999997,94.56378968567299
21838,55,1579,34.83217226092464
21840,59,936.9400000000002,62.97094797959313
21841,349,6055.21,57.636316494390776
21842,2437,52256.51999999999,46.635328950339606
21843,469,5810.200000000001,80.7201129048914
21849,541,11445.820000000002,47.26616354267321
21850,110,1634.26,67.30875136147247
21851,810,13798.000000000004,58.704160023191754
21852,1,20,50
21853,555,8938.869999999994,62.08838477346694
21854,1,10,100
21855,1,50,20
21856,221,2715.48,81.38524312460412
21858,6,98.28,61.050061050061046
21861,42,1238.16,33.921302578018995
21862,2,20,100
21863,778,15254.77,51.00044117348213
21864,59,2239.66,26.343284248502005
21865,284,5664.640000000003,50.13557790080214
21867,3,104,28.846153846153847
21869,178,1823.8399999999983,97.59628037547162
21871,135,2733.2100000000005,49.3924725871777
21872,51,683.82,74.58103009563919
21873,1,30,33.333333333333336
21874,139,1668.7499999999998,83.29588014981275
21875,853,14828.73,57.52346964305102
21876,1,20,50
21877,4,41,97.5609756097561
21893,2,55,36.36363636363636
21894,4,96,41.666666666666664
21898,5,85,58.8235294117647
2190,8,536.65,14.907295257616695
